File,RTOS,Message Size (bytes),Average Receive Cycle,Average Send Cycle,Average Cycle (Overall),ICache Miss Min,ICache Miss Max,DCache Access Min,DCache Access Max,DCache Miss Min,DCache Miss Max
16_freertos_isr_task_queue_test.txt,Freertos,64,0.00,1444.30,722.15,0.00,23.83,410.00,413.00,0.00,5.00
16_threadx_isr_task_queue_test.txt,Threadx,64,0.00,987.04,493.52,0.00,27.83,298.00,300.00,0.00,2.00
16_zephyr_isr_task_queue_test.txt,Zephyr,64,0.00,444.00,222.00,0.00,15.00,126.00,130.00,0.00,2.00
2_freertos_isr_task_queue_test.txt,Freertos,8,0.00,763.96,381.98,0.00,22.83,182.00,185.00,0.00,1.00
2_threadx_isr_task_queue_test.txt,Threadx,8,0.00,490.58,245.29,0.00,23.83,126.00,126.00,0.00,1.00
2_zephyr_isr_task_queue_test.txt,Zephyr,8,0.00,362.00,181.00,0.00,13.00,89.00,91.00,0.00,1.00
32_freertos_isr_task_queue_test.txt,Freertos,128,0.00,2208.73,1104.36,0.00,27.83,662.00,665.00,0.00,5.00
32_threadx_isr_task_queue_test.txt,Threadx,128,0.00,1476.04,738.02,0.00,24.83,486.00,487.00,0.00,4.00
32_zephyr_isr_task_queue_test.txt,Zephyr,128,0.00,549.00,274.50,0.00,15.00,182.00,186.00,0.00,2.00
4_freertos_isr_task_queue_test.txt,Freertos,16,0.00,862.42,431.21,0.00,23.83,214.00,217.00,0.00,2.00
4_threadx_isr_task_queue_test.txt,Threadx,16,0.00,610.73,305.36,0.00,26.83,158.00,159.00,0.00,2.00
4_zephyr_isr_task_queue_test.txt,Zephyr,16,0.00,329.00,164.50,0.00,15.00,85.00,87.00,0.00,2.00
8_freertos_isr_task_queue_test.txt,Freertos,32,0.00,1059.23,529.62,0.00,27.83,278.00,281.00,0.00,3.00
8_threadx_isr_task_queue_test.txt,Threadx,32,0.00,724.08,362.04,0.00,25.83,198.00,200.00,0.00,4.00
8_zephyr_isr_task_queue_test.txt,Zephyr,32,0.00,366.00,183.00,0.00,16.00,98.00,100.00,0.00,2.00
